location,state,email
Boulder,Colorado,nws.boulder@noaa.gov
Grand Junction,Colorado,nws.grandjuction@noaa.gov
Pueblo,Colorado,nws.pueblo@noaa.gov
Chicago (CWSU & WFO),Illinois,nws.chicago@noaa.gov
Lincoln,Illinois,nws.lincoln@noaa.gov
Indianapolis,Indiana,nws.indianapolis@noaa.gov
North Webster,Indiana,nws.northernindiana@noaa.gov
Davenport/Quad Cities,Iowa,cr.dvnstudents@noaa.gov
Des Moines,Iowa,nws.desmoines@noaa.gov
Dodge City,Kansas,nws.dodgecity@noaa.gov
Topeka,Kansas,nws.topeka@noaa.gov
Wichita,Kansas,w-ict.webmaster@noaa.gov
Jackson,Kentucky,w-jkl.webmaster@noaa.gov
Louisville,Kentucky,nws.louisville@noaa.gov
Paducah,Kentucky,nws.paducah@noaa.gov
Detroit/Pontiac,Michigan,w-dtx.webmaster@noaa.gov
Gaylord,Michigan,w-apx.webmaster@noaa.gov
Grand Rapids,Michigan,nws.grandrapids@noaa.gov
Duluth,Minnesota,nws.duluth@noaa.gov
Twin Cities/Chanhassen (WFO),Minnesota,nws.twincities@noaa.gov
Twin Cities/Chanhassen (NCRFC),Minnesota,w-ncrfc.webmaster@noaa.gov
Kansas City/Pleasant Hill (WFO),Missouri,nws.kansascity@noaa.gov
Kansas City/Pleasant Hill (MBRFC),Missouri,w-mbrfc.webmaster@noaa.gov
Springfield,Missouri,nws.springfield@noaa.gov
St. Louis,Missouri,nws.stlouis@noaa.gov
Hastings,Nebraska,nws.hastings@noaa.gov
North Platte,Nebraska,nws.northplatte@noaa.gov
Omaha/Valley,Nebraska,nws.omaha@noaa.gov
Bismarck,North Dakota,w-bis.webmaster@noaa.gov
Grand Forks,North Dakota,nws.grandforks@noaa.gov
Aberdeen,South Dakota,w-abr.webmaster@noaa.gov
Sioux Falls,South Dakota,w-fsd.webmaster@noaa.gov
Green Bay,Wisconsin,nws.greenbay@noaa.gov
La Crosse,Wisconsin,nws.lacrosse@noaa.gov
Milwaukee,Wisconsin,nws.milwaukee@noaa.gov
Cheyenne,Wyoming,w-cys.webmaster@noaa.gov
Riverton,Wyoming,nws.riverton@noaa.gov
