location,state,email
Portland,Maine,gyx.webmaster@noaa.gov
Caribou,Maine,carwebmaster@noaa.gov
Boston,Massachusetts,box.webmaster@noaa.gov
Northeast River,Massachusetts,nerfc.operations@noaa.gov
Nashua,New Hampshire,zbw.operations@noaa.gov
Mount Holly,New Jersey,wfophi.webmaster@noaa.gov
Albany,New York,alywebmaster@noaa.gov
Binghamton,New York,bgm.webmaster@noaa.gov
Buffalo,New York,buf.webmaster@noaa.gov
New York City,New York,okx.webmaster@noaa.gov
Newport,North Carolina,wxobs.mhx@noaa.gov
Raleigh,North Carolina,rah.webmaster@noaa.gov
Wilmington,North Carolina,ilm.webmaster@noaa.gov
Cleveland,Ohio,nwscle@noaa.gov
Wilmington,Ohio,iln.webmaster@noaa.gov
Pittsburgh,Pennsylvania,nws.pittsburgh@noaa.gov
State College,Pennsylvania,ctpwebmaster@noaa.gov
Middle Atlantic River,Pennsylvania,marfc.webmaster@noaa.gov
Charleston,South Carolina,nws.charlestonsc@noaa.gov
Columbia,South Carolina,NWS.Columbia@noaa.gov
Greenville-Spartanburg,South Carolina,gsp.webmaster@noaa.gov
Burlington,Vermont,btv.webmaster@noaa.gov
Blacksburg,Virginia,rnk.webmaster@noaa.gov
Sterling,Virginia,lwxwebmaster@noaa.gov
Wakefield,Virginia,akq.webmaster@noaa.gov
Charleston,West Virginia,rlx.webmaster@noaa.gov
